DOR Code,Municipality,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property,Rate_Diff
1,Abington,2025,13.06,0.0,13.06,13.06,13.06,0.0
2,Acton,2025,17.15,0.0,17.15,17.15,17.15,0.0
3,Acushnet,2025,10.79,0.0,15.22,15.22,15.22,4.4300000000000015
4,Adams,2025,17.01,0.0,23.41,23.41,23.41,6.399999999999999
5,Agawam,2025,14.64,0.0,27.7,27.7,27.7,13.059999999999999
6,Alford,2025,4.95,0.0,4.95,4.95,4.95,0.0
7,Amesbury,2025,15.3,0.0,15.3,15.3,15.3,0.0
8,Amherst,2025,17.95,0.0,17.95,17.95,17.95,0.0
9,Andover,2025,12.49,0.0,24.31,24.31,24.31,11.819999999999999
10,Arlington,2025,10.77,0.0,10.77,10.77,10.77,0.0
11,Ashburnham,2025,14.87,0.0,14.87,14.87,14.87,0.0
12,Ashby,2025,15.23,0.0,15.23,15.23,15.23,0.0
13,Ashfield,2025,13.46,0.0,13.46,13.46,13.46,0.0
14,Ashland,2025,12.77,12.77,12.77,12.77,12.77,0.0
15,Athol,2025,12.71,0.0,12.71,12.71,12.71,0.0
16,Attleboro,2025,12.55,0.0,18.62,18.62,18.62,6.07
17,Auburn,2025,14.29,0.0,16.1,16.1,16.04,1.8100000000000023
18,Avon,2025,13.34,0.0,27.28,27.28,27.23,13.940000000000001
19,Ayer,2025,11.96,0.0,25.19,25.19,25.19,13.23
20,Barnstable,2025,6.94,0.0,6.1,6.1,6.1,-0.8400000000000007
21,Barre,2025,13.59,0.0,13.59,13.59,13.59,0.0
22,Becket,2025,8.76,0.0,8.76,8.76,8.76,0.0
23,Bedford,2025,12.04,0.0,27.12,27.12,27.12,15.080000000000002
24,Belchertown,2025,14.51,0.0,14.51,14.51,14.51,0.0
25,Bellingham,2025,12.56,0.0,19.43,19.43,19.35,6.869999999999999
26,Belmont,2025,11.39,0.0,11.39,11.39,11.39,0.0
27,Berkley,2025,12.01,0.0,12.01,12.01,12.01,0.0
28,Berlin,2025,14.19,14.19,22.42,22.42,22.26,8.230000000000002
29,Bernardston,2025,14.27,0.0,14.27,14.27,14.27,0.0
30,Beverly,2025,10.99,10.99,21.44,21.44,21.44,10.450000000000001
